Question,Type,Options,Answer
"Bagaimana cara Anda menangani race condition atau memastikan konsistensi data ketika ada dua request yang memotong saldo pengguna secara bersamaan di database?","text","","Gunakan transaksi database dengan row-level locking, misalnya SELECT ... FOR UPDATE, lalu validasi saldo dan kurangi saldo dalam transaksi atomik. Tambahkan constraint agar saldo tidak menjadi negatif serta gunakan isolation level yang sesuai."
"Jika sebuah event transaksi pembayaran dari Apache Kafka tidak sengaja terproses dua kali oleh consumer, bagaimana Anda memastikan sistem tetap aman (idempotent) dan tidak terjadi duplikasi transaksi?","text","","Gunakan idempotency key atau transaction ID sebagai unique key di database, lalu proses event dalam transaksi atomik. Consumer melakukan pengecekan sebelum memproses, menyimpan status transaksi, dan menggunakan acknowledgment serta retry yang aman."
"How many years experience do you have as an Odoo Developer Specialist?","text","","0"
"Apakah kamu tinggal di Jakarta Barat pada saat ini?","radiobutton","Ya | Tidak","Tidak"
"Seberapa mahir kamu dengan keahlian berikut ini? - Python","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Menengah"
"Seberapa mahir kamu dengan bahasa berikut? - Indonesia","radiobutton","Tidak | Menengah | Profesional | Mahir-Fasih","Mahir-Fasih"
"What's your current salary?","text","","Tidak disebutkan"
"Seberapa mahir kamu dengan keahlian berikut ini? - Backend Development","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Menengah"
"Seberapa mahir kamu dengan keahlian berikut ini? - Arsitektur Mikroservis","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Tidak Berpengalaman"
"Seberapa mahir kamu dengan keahlian berikut ini? - ASP .NET","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Tidak Berpengalaman"
"Seberapa mahir kamu dengan keahlian berikut ini? - Devexpress","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Tidak Berpengalaman"
"Apakah bersedia dengan sistem kerja Contract under Sigmatech [PKWT]?","text","","Ya"
"Berapa lama notice periode yang dibutuhkan Saudara?","text","","Immediately"
"How much experience do you have in the following industry? - Capital Markets","radiobutton","Tidak Berpengalaman | <1 thn | 1 - 3 thn | 3 - 5 thn | 5 - 10 thn | 10+ thn","Tidak Berpengalaman"
"Seberapa mahir kamu dengan keahlian berikut ini? - Analitik Data","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Tidak Berpengalaman"
"Berapa lama pengalaman yang kamu miliki sebagai Frontend Developer?","radiobutton","Tidak Berpengalaman | <1 thn | 1 - 3 thn | 3 - 5 thn | 5 - 10 thn | 10+ thn","1 - 3 thn"
"Seberapa mahir kamu dengan keahlian berikut ini? - Vite","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Tidak Berpengalaman"
"Seberapa mahir kamu dengan keahlian berikut ini? - Dart","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Dasar"
"Seberapa mahir kamu dengan keahlian berikut ini? - Flutter","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Menengah"
"Seberapa mahir kamu dengan keahlian berikut ini? - Kerja Tim","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Menengah"
"Seberapa mahir kamu dengan keahlian berikut ini? - Zustand","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Tidak Berpengalaman"
"Seberapa mahir kamu dengan keahlian berikut ini? - Metodologi Agile","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Tidak Berpengalaman"
"Seberapa mahir kamu dengan keahlian berikut ini? - Nuxt.js","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Tidak Berpengalaman"
"Seberapa mahir kamu dengan keahlian berikut ini? - Svelt","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Menengah"
"Seberapa mahir kamu dengan keahlian berikut ini? - TanStack Start","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Tidak Berpengalaman"
"Seberapa mahir kamu dengan keahlian berikut ini? - Basis Data Oracle","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Tidak Berpengalaman"
"Apakah Anda sudah menyelesaikan pendidikan minimal D3 atau sudah memiliki Surat Keterangan Lulus?","text","","Tidak"
"Seberapa mahir Anda dengan keahlian C/C++?","text","","Tidak berpengalaman"
"Seberapa mahir kamu dengan keahlian berikut ini? - Java Programming","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Tidak Berpengalaman"
"Seberapa mahir kamu dengan keahlian berikut ini? - CI/CD","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Dasar"
"Seberapa mahir kamu dengan keahlian berikut ini? - Software Architecture","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Dasar"
"Seberapa mahir kamu dengan keahlian berikut ini? - Network Debugging","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Dasar"
"Seberapa mahir kamu dengan keahlian berikut ini? - Software Development","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Menengah"
"Seberapa mahir kamu dengan keahlian berikut ini? - Code Review","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Dasar"
"Seberapa mahir kamu dengan keahlian berikut ini? - Scrum","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Tidak Berpengalaman"
"Bagaimana Anda merancang RESTful API atau gRPC agar tetap aman, memiliki rate-limiting yang baik, serta mudah diakses oleh tim frontend maupun pihak ketiga?","text","","Saya merancang API dengan autentikasi JWT atau OAuth2, validasi input, HTTPS, sanitasi data, kontrol akses berbasis peran, serta logging dan monitoring. Rate limiting diterapkan menggunakan Redis atau middleware, sedangkan dokumentasi OpenAPI, versioning, format respons konsisten, dan pengujian memastikan API mudah digunakan oleh frontend maupun pihak ketiga."
"ERP atau sistem akuntansi apa saja yang pernah Anda hubungkan dengan aplikasi inti","text","","Belum pernah menghubungkan ERP atau sistem akuntansi."
"Seberapa mahir kamu dengan keahlian berikut ini? - Manual Coding","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Menengah"
"Kalau kamu diminta integrasi dengan third-party API (misalnya payment atau social media), apa saja hal yang kamu perhatikan dan bagaimana cara kamu handle error atau failure?","text","","Saya memperhatikan dokumentasi API, autentikasi dan otorisasi, format request/response, rate limit, validasi data, keamanan credential, timeout, serta kompatibilitas versi. Saya menangani error dengan validasi input, logging, timeout, retry terbatas dengan exponential backoff, fallback bila diperlukan, serta response error yang jelas agar mudah dimonitor dan ditelusuri."
"Seberapa nyaman Anda melakukan manual coding tanpa bergantung pada AI coding tools? Jika ya, bisa jelaskan singkat pengalaman atau pendekatan Anda?","text","","Saya nyaman melakukan manual coding tanpa bergantung pada AI coding tools. Saya terbiasa memahami kebutuhan, merancang alur dan struktur kode, menulis kode secara mandiri, melakukan debugging, testing, serta membaca dokumentasi resmi untuk menyelesaikan masalah."
"Posisi ini memerlukan untuk WFO untuk hari Senin-Jumat jam kerja 10.00-18.00. Dan hari sabtu WFH di jam 10.00-14.00. Apakah dari kamu bersedia?","text","","Ya, saya bersedia mengikuti jadwal WFO Senin-Jumat pukul 10.00-18.00 dan WFH Sabtu pukul 10.00-14.00."
"Expectation Salary?","text","","4500000"
"Seberapa mahir kamu dengan keahlian berikut ini? - Orm","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Menengah"
"Seberapa mahir kamu dengan keahlian berikut ini? - FASTAPI","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Menengah"
"Seberapa mahir kamu dengan keahlian berikut ini? - drizzle orm","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Tidak Berpengalaman"
"Seberapa mahir kamu dengan keahlian berikut ini? - NestJS","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Tidak Berpengalaman"
"Seberapa mahir kamu dengan keahlian berikut ini? - Swagger","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Dasar"
"Seberapa mahir kamu dengan keahlian berikut ini? - NoSQL","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Menengah"
"Seberapa mahir kamu dengan keahlian berikut ini? - Integrasi Sistem","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Menengah"
"Seberapa mahir kamu dengan keahlian berikut ini? - DevOps","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Dasar"
"Expected salary :","text","","4500000"
"Seberapa mahir kamu dengan keahlian berikut ini? - Perangkat Lunak ERP","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Tidak Berpengalaman"
"Seberapa mahir kamu dengan keahlian berikut ini? - Restful API","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Menengah"
"Seberapa mahir kamu dengan keahlian berikut ini? - Pengujian Integrasi","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Dasar"
"Seberapa mahir kamu dengan keahlian berikut ini? - Object-Oriented Programming (OOP)","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Menengah"
"Seberapa mahir kamu dengan keahlian berikut ini? - Echo Framework","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Tidak Berpengalaman"
"Seberapa mahir kamu dengan keahlian berikut ini? - Fiber Framework","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Tidak Berpengalaman"
"Seberapa mahir kamu dengan keahlian berikut ini? - GORM","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Tidak Berpengalaman"
"Seberapa mahir kamu dengan keahlian berikut ini? - Chi Framework","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Tidak Berpengalaman"
"What is your current salary? (NETT)","text","","Tidak disebutkan"
"Expected Salary ? (NETT)","text","","4500000"
"Seberapa mahir kamu dengan keahlian berikut ini? - Pengembangan Web","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Menengah"
"Would you be willing to work under a 12mo contract with ONSITE working arrangement?","text","","Tidak dapat ditentukan"
"How much experience do you have in the following industry? - Investment Banking","radiobutton","Tidak Berpengalaman | <1 thn | 1 - 3 thn | 3 - 5 thn | 5 - 10 thn | 10+ thn","Tidak Berpengalaman"
"Seberapa mahir kamu dengan keahlian berikut ini? - Temporal Workflow","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Tidak Berpengalaman"
"Seberapa mahir kamu dengan keahlian berikut ini? - Distributed Systems","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Tidak Berpengalaman"
"Seberapa mahir kamu dengan keahlian berikut ini? - Yii 2","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Tidak Berpengalaman"
"Seberapa mahir kamu dengan keahlian berikut ini? - Hibernate","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Tidak Berpengalaman"
"Seberapa mahir kamu dengan keahlian berikut ini? - Express.Js","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Menengah"
"Seberapa mahir kamu dengan keahlian berikut ini? - Maven","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Tidak Berpengalaman"
"Seberapa mahir kamu dengan keahlian berikut ini? - as400","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Tidak Berpengalaman"
"Seberapa mahir kamu dengan keahlian berikut ini? - Ibm I","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Tidak Berpengalaman"
"Seberapa mahir kamu dengan keahlian berikut ini? - Soap Web Services","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Tidak Berpengalaman"
"Seberapa mahir kamu dengan keahlian berikut ini? - Db2/400","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Tidak Berpengalaman"
"Bersedia untuk bekerja Hybrid?","radiobutton","Ya | Tidak","Ya"
"Seberapa mahir kamu dengan keahlian berikut ini? - Pengembangan WordPress","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Tidak Berpengalaman"
"Seberapa mahir kamu dengan keahlian berikut ini? - CSS","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Menengah"
"Seberapa mahir kamu dengan keahlian berikut ini? - Core Java","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Tidak Berpengalaman"
"Seberapa mahir kamu dengan keahlian berikut ini? - Temenos24","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Tidak Berpengalaman"
"Seberapa mahir kamu dengan keahlian berikut ini? - Perbankan","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Tidak Berpengalaman"
"Ceritakan project Fullstack yang paling kompleks yang pernah Anda kerjakan. jika ada Dokumentasinya, Sertakan!","text","","Project fullstack paling kompleks yang saya kerjakan menggunakan Laravel, PHP, JavaScript, REST API, dan database seperti MySQL atau PostgreSQL. Saya menangani perancangan API, autentikasi, pengolahan data, validasi, integrasi frontend, serta pengujian menggunakan Postman. Dokumentasi dan contoh project tersedia di https://github.com/itzluthfi."
"Dalam mengerjakan project, Anda lebih sering coding manual atau menggunakan AI ? Jelaskan workflow Anda. Deskripsikan dengan Persentasenya ( Ex : AI 40% , Manual 60% )","text","","AI 20%, manual 80%. Saya menggunakan AI untuk brainstorming, mencari alternatif solusi, membuat draft kode, dan membantu debugging. Implementasi utama, penyesuaian arsitektur, validasi keamanan, pengujian, dan code review tetap saya kerjakan secara manual."
"Ketika mendapat project baru, misalnya sistem produksi atau warehouse, bagaimana cara Anda memulai pengerjaannya?","text","","Saya memulai dengan memahami tujuan bisnis dan alur kerja pengguna, lalu mengidentifikasi fitur utama, aktor, kebutuhan data, serta integrasi yang diperlukan. Setelah itu saya menyusun requirement, database schema, API, dan prioritas pengerjaan, membuat prototype atau MVP, menguji setiap modul, lalu melakukan deployment dan perbaikan berdasarkan feedback pengguna."
"Seberapa mahir kamu dengan keahlian berikut ini? - Oracle ERP","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Tidak Berpengalaman"
"How much experience do you have in the following industry? - Retail","radiobutton","Tidak Berpengalaman | <1 thn | 1 - 3 thn | 3 - 5 thn | 5 - 10 thn | 10+ thn","Tidak Berpengalaman"
"Are you available to come to our office for the offline interview? (Mandatory)","text","","Yes"
"Apakah Anda pernah menggunakan Microsoft Defender","radiobutton","Microsoft Sentinel","Microsoft Sentinel"
"Apakah kamu punya dokumen/sertifikat dibawah ini yang masih valid dan berlaku? - Sertifikat Cisco","radiobutton","Ya | Tidak","Tidak"
"Apakah kamu punya dokumen/sertifikat dibawah ini yang masih valid dan berlaku? - Sertifikat CISSP (Certified Information Systems Security Professional)","radiobutton","Ya | Tidak","Tidak"
"Apakah kamu punya dokumen/sertifikat dibawah ini yang masih valid dan berlaku? - Sertifikat GoogleAds","radiobutton","Ya | Tidak","Tidak"
"Seberapa mahir kamu dengan keahlian berikut ini? - RabbitMQ","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Tidak Berpengalaman"
"How many years' experience do you have as an Odoo Developer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have in a software development role?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"Berapa tahun pengalaman kerjamu sebagai pengembang .net?","dropdown","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun","Kurang dari 1 tahun"
"How many years' experience do you have as a Spring Boot Developer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years experience in Natural Resource Management do you have?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as a Wordpress Developer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"Alat analisis web apa saja di bawah ini yang bisa kamu gunakan?","checklist","Omniture | Google Analytics | Chartbeat | SAS Web Analytics | Tableau | Marin | Coremetrics | Piwik | Crazy Egg | Webtrends | Unica | Tidak satupun","Tidak satupun"
"Metode periklanan online apa saja di bawah ini yang bisa kamu gunakan?","checklist","Pay per click | Iklan media sosial | Google AdWords | Iklan display | Iklan banner | Tidak satupun","Tidak satupun"
"How many years' experience do you have as a Golang Engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as a PHP Engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as a Python Engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as a Sales and Marketing Staff?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"Berapa tahun pengalaman kerjamu sebagai software engineer?","dropdown","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun","Kurang dari 1 tahun"
"How many years' experience do you have as a PostgreSQL Administrator?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as a Systems Developer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"Berapa tahun pengalaman kerjamu sebagai Analis Proses Bisnis?","dropdown","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun","Kurang dari 1 tahun"
"Berapa tahun pengalaman kerjamu sebagai Operator Sistem?","dropdown","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun","Kurang dari 1 tahun"
"Apakah kamu tinggal di Tangerang pada saat ini?","radiobutton","Ya | Tidak","Tidak"
"Seberapa mahir kamu dengan keahlian berikut ini? - Ionic Framework","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Tidak Berpengalaman"
"Apakah kamu tinggal di Tangerang Selatan pada saat ini?","radiobutton","Ya | Tidak","Tidak"
"How many years' experience do you have as a Golang Backend Engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as a Generative AI Engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as a Computer Vision Engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as a Microservices Developer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as a Backend Team Leader?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as a COBOL Developer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years of Back-End Development experience do you have?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as a Golang Backend Developer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as a SAP Developer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as a Salesforce Developer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have in a Quality Assurance Role?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"Berapa tahun pengalaman kerjamu sebagai Spesialis Search Engine Optimisation?","dropdown","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun","Kurang dari 1 tahun"
"Berapa tahun pengalaman kerjamu di bidang manajemen proyek?","dropdown","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun","Kurang dari 1 tahun"
"Content Management System (CMS) apa saja di bawah ini yang dapat kamu gunakan?","checklist","Squiz | WordPress | Sitefinity | EpiServer | Umbraco | Matrix | Adobe CQ5 | Joomla | Drupal | FatWire | Sitecore | Vignette | Magento | SharePoint | Tidak satupun","Tidak satupun"
"How many years' experience do you have as a Penetration Tester?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as a Quality Assurance Lead?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"Berapa tahun pengalaman kerjamu sebagai Staf Quality Assurance?","dropdown","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun","Kurang dari 1 tahun"
"How many years' experience do you have as an Application Support Engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"Which of the following Linux distributions are you familiar with?","checklist","SUSE | CentOS | Debian | CoreOS | SME Server | Ubuntu | Pentoo | Red Hat (RHEL) | Chromium | OpenWRT | Fedora | Scientific Linux | Vyatta | None of these","None of these"
"How many years' experience do you have as an Information Technology Supervisor?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"Seberapa mahir kamu dengan bahasa berikut? - Mandarin","radiobutton","Tidak | Menengah | Profesional | Mahir-Fasih","Tidak"
"How many years' experience do you have as an iOS Engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"Berapa tahun pengalaman kerjamu sebagai Konsultan Teknis?","dropdown","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun","Kurang dari 1 tahun"
"How many years' experience do you have as a Cloud Consultant?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as a Solutions Architect?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years of SaaS Implementation experience do you have?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years of Microservices Development experience do you have?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as a Kubernetes Engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as an ios developer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years of iOS development experience do you have?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as a systems analyst?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have in a DevOps role?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as a Partnership Specialist?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"Have you completed an English language proficiency certification?","checklist","Yes, the International English Language Testing System (IELTS) certificate | Yes, the Test of English as a Foreign Language (TOEFL) certificate | Yes, the Test of English for International Communication (TOEIC) certificate | I have an English language proficiency certification which isn't listed | I don't have an English language proficiency certification","I don't have an English language proficiency certification"
"How many years' experience do you have as an Application Architect?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as a Head of Software Solution?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as a .Net Lead?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"Berapa tahun pengalaman kerjamu sebagai manajer teknilk / engineering manager?","dropdown","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun","Kurang dari 1 tahun"
"Berapa tahun pengalaman kerjamu di bidang people management?","dropdown","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun","Kurang dari 1 tahun"
"How many years' experience do you have as a .Net Core Developer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as an Artificial Intelligence Engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"Berapa tahun pengalaman kerjamu di bidang perencanaan dan penjadwalan proyek?","dropdown","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun","Kurang dari 1 tahun"
"Produk ERP apa saja di bawah ini yang bisa kamu gunakan?","checklist","Odoo ERP | SAP Business One | NetSuite | Sage Intacct | Oracle's E-Business Suite | ECount | PeopleSoft | Microsoft Dynamics AX (Axapta) | Microsoft Dynamics NAV (Navison) | Industrial and Financial System (IFS) | QAD MFG / Pro | Compiere | FinancialForce ERP | WorkWise ERP | ERPNext | VersAccounts Cloud | Workday | Tidak satupun","Tidak satupun"
"Which of these industries have you worked in?","checklist","Construction, Design & Engineering | Education, Training & Research | Electricity, Gas, Water & Waste Services | Employment, Outsourcing & Facilities | Financial & Insurance Services | Food, Hospitality & Tourism | Government, Defence & Public Safety | Healthcare & Social Assistance | Information & Communication Technology (ICT) | Manufacturing | Media, Advertising & Online | Personal, Home & Vehicle Services | Primary Industries & Metals | Professional Services | Real Estate & Property Services | Retail & Wholesale | Transport & Logistics | None of these","Information & Communication Technology (ICT)"
"How many years' experience do you have as an android developer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years of Android development experience do you have?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as an AS400 Developer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have in an Application Support Role?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"Berapa tahun pengalaman kerjamu sebagai Divisi Manager?","dropdown","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun","Kurang dari 1 tahun"
